ID,ShortDesc,Engine,Year,Month,Displacement,Power_kW,Horsepower,Km,PictureCount,Prices
16280131,RENAULT MEGANE 1.5 dCi Authentique Plus,Diesel,2003,8,1461,60,82,235000,6,349900
16217168,RENAULT MEGANE Classic 1.6 RN,Benzin,1998,NA,1598,66,90,194000,5,350000
16051073,RENAULT MEGANE 1.4 16V RN,Benzin,1999,10,1390,70,95,217500,12,350000
16209380,RENAULT MEGANE 1.4 16V Alize mo-i működő klíma 234e km,Benzin,2003,7,1390,70,95,234633,12,399000
15703940,RENAULT MEGANE 1.4 Chic Klima mo-i 2 tulaj klíma 192e km rozsdamentes,Benzin,1998,9,1390,55,75,192633,12,399000
16257157,RENAULT MEGANE Limousine 1.9 dCi Dynamique Klíma. Fed comp. Vonóhorog,Diesel,2003,12,1870,88,120,210790,12,419000
16254678,RENAULT MEGANE 1.4 Authentique Klíma.SokVizsga,Benzin,2005,4,1390,72,98,208361,8,469000
16283793,RENAULT MEGANE 1.9 dCi Privilege Gyári színes navigáció!,Diesel,2001,8,1870,75,102,208807,12,490000
16277370,RENAULT MEGANE Classic 1.4 16V Alize,Benzin,2002,4,1390,70,95,182600,6,539000
16064604,RENAULT MEGANE,Diesel,2005,10,1890,88,120,178000,12,599000
16260463,RENAULT MEGANE 1.4 Azure,Benzin,2005,3,1390,72,98,200000,5,660000
16274835,RENAULT MEGANE Limousine 1.4 Authentique Plus,Benzin,2005,6,1390,72,98,236000,6,745000
16266688,RENAULT MEGANE Grandtour 1.6 Privilege,Benzin,2006,10,1598,82,111,195000,5,799000
16166534,RENAULT MEGANE Grandtour 1.5 dCi Expression Megkímélt.Magyar.Szervízkönyv.Ködlámpa,Diesel,2007,11,1461,63,86,180406,12,890000
16207160,RENAULT MEGANE Limousine 1.6 Privilege,Benzin,2005,NA,1598,82,111,149914,6,930000
16281230,RENAULT MEGANE 1.6 Privilege,Benzin,2006,NA,1598,82,111,251000,11,970000
16301262,RENAULT MEGANE 1.5 dCi 85 DPF Dynamique,Diesel,2009,12,1461,63,86,173421,4,1100000
16276082,RENAULT MEGANE Grandtour 1.5 dCi TomTom,Diesel,2010,12,1461,81,110,289000,12,1200000
16291057,RENAULT MEGANE 1.4 TCe Dynamique MAGYAR!!! GARANTÁLT KM!!!!,Benzin,2010,6,1397,96,131,183000,7,1499999
15855457,RENAULT MEGANE Grandtour 1.5 dCi Expression Mo-i! Szkönyv! 175 e km! Téli-nyárigumi!,Diesel,2013,3,1461,66,90,175456,12,1599000
16293281,RENAULT MEGANE Grandtour 1.5 dCi Expression,Diesel,2012,10,1461,81,110,204400,12,1750000
16086913,RENAULT MEGANE Grandtour 1.9 dCi Privilege KLÍMA.TEMPOMAT.127e.Km!,Diesel,2010,7,1870,96,131,127080,11,1849000
